graph_name,vertices,arcs,gamma_unhappy,nash_unhappy,avgdeg,maxdeg,k,algo,numused,avgpayoff,isGammaNash,isNash,gamma,LLL-Threshold,time,iterations,epsilon,lemma-valid
linux.txt.hist,30834,213424,0.0001,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,6.068402,40,-1,False
linux.txt.hist,30834,213424,0.0002,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,6.283343,41,-1,False
linux.txt.hist,30834,213424,0.0002,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,6.494424,42,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,6.708053,43,-1,False
linux.txt.hist,30834,213424,0.0003,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,6.920804,44,-1,False
linux.txt.hist,30834,213424,0.0002,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,7.133996,45,-1,False
linux.txt.hist,30834,213424,0.0001,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,7.348932,46,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,7.560114,47,-1,False
linux.txt.hist,30834,213424,0.0003,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,7.771944,48,-1,False
linux.txt.hist,30834,213424,0.0003,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,7.984206,49,-1,False
linux.txt.hist,30834,213424,0.0001,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,8.194029,50,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,8.406245,51,-1,False
linux.txt.hist,30834,213424,0.0001,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,8.618728,52,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,8.829497,53,-1,False
linux.txt.hist,30834,213424,0.0003,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,9.048212,54,-1,False
linux.txt.hist,30834,213424,0.0003,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,9.26007,55,-1,False
linux.txt.hist,30834,213424,0.0003,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,9.471771,56,-1,False
linux.txt.hist,30834,213424,0.0001,0.065,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,9.689472,57,-1,False
linux.txt.hist,30834,213424,0.0002,0.0649,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,9.902448,58,-1,False
linux.txt.hist,30834,213424,0.0001,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,10.114206,59,-1,False
linux.txt.hist,30834,213424,0.0001,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,10.331986,60,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,10.54751,61,-1,False
linux.txt.hist,30834,213424,0.0003,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,10.763739,62,-1,False
linux.txt.hist,30834,213424,0.0002,0.0649,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,10.979126,63,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,11.194779,64,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,11.409725,65,-1,False
linux.txt.hist,30834,213424,0.0002,0.0649,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,11.626456,66,-1,False
linux.txt.hist,30834,213424,0.0001,0.0648,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,11.83911,67,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,12.051382,68,-1,False
linux.txt.hist,30834,213424,0.0001,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,12.261995,69,-1,False
linux.txt.hist,30834,213424,0.0001,0.0649,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,12.474103,70,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,12.686645,71,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,12.897732,72,-1,False
linux.txt.hist,30834,213424,0.0002,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,13.109529,73,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,13.319641,74,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,13.531471,75,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,13.744274,76,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,13.956286,77,-1,False
linux.txt.hist,30834,213424,0.0001,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,14.167365,78,-1,False
linux.txt.hist,30834,213424,0.0001,0.0647,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,14.378544,79,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,14.590647,80,-1,False
linux.txt.hist,30834,213424,0.0001,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,14.802535,81,-1,False
linux.txt.hist,30834,213424,0.0001,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,15.013687,82,-1,False
linux.txt.hist,30834,213424,0.0002,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,15.233537,83,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,15.836409,84,-1,False
linux.txt.hist,30834,213424,0.0002,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,16.050119,85,-1,False
linux.txt.hist,30834,213424,0.0002,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,16.262608,86,-1,False
linux.txt.hist,30834,213424,0.0002,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,16.475949,87,-1,False
linux.txt.hist,30834,213424,0.0002,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,16.688002,88,-1,False
linux.txt.hist,30834,213424,0.0003,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,16.899459,89,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,17.11195,90,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,17.323674,91,-1,False
linux.txt.hist,30834,213424,0.0002,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,17.535917,92,-1,False
linux.txt.hist,30834,213424,0.0001,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,17.74814,93,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,17.961619,94,-1,False
linux.txt.hist,30834,213424,0.0002,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,18.17336,95,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,18.386258,96,-1,False
linux.txt.hist,30834,213424,0.0002,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,18.598823,97,-1,False
linux.txt.hist,30834,213424,0.0002,0.0639,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,18.810492,98,-1,False
linux.txt.hist,30834,213424,0.0001,0.0641,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,19.022289,99,-1,False
linux.txt.hist,30834,213424,0.0001,0.0641,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,19.238482,100,-1,False
linux.txt.hist,30834,213424,0.0003,0.065,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,19.450707,101,-1,False
linux.txt.hist,30834,213424,0.0002,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,19.666851,102,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,19.890994,103,-1,False
linux.txt.hist,30834,213424,0.0003,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,20.107647,104,-1,False
linux.txt.hist,30834,213424,0.0001,0.064,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,20.319242,105,-1,False
linux.txt.hist,30834,213424,0.0001,0.0641,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,20.530123,106,-1,False
linux.txt.hist,30834,213424,0.0001,0.0641,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,20.742913,107,-1,False
linux.txt.hist,30834,213424,0.0001,0.0639,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,20.957831,108,-1,False
linux.txt.hist,30834,213424,0.0002,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,21.179006,109,-1,False
linux.txt.hist,30834,213424,0.0002,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,21.396283,110,-1,False
linux.txt.hist,30834,213424,0.0002,0.064,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,21.609969,111,-1,False
linux.txt.hist,30834,213424,0.0001,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,21.822292,112,-1,False
linux.txt.hist,30834,213424,0.0003,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,22.039624,113,-1,False
linux.txt.hist,30834,213424,0.0001,0.064,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,22.252876,114,-1,False
linux.txt.hist,30834,213424,0.0002,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,22.465291,115,-1,False
linux.txt.hist,30834,213424,0.0001,0.064,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,22.679244,116,-1,False
linux.txt.hist,30834,213424,0.0001,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,22.890267,117,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,23.102902,118,-1,False
linux.txt.hist,30834,213424,0.0,0.0639,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,23.31944,119,-1,False
linux.txt.hist,30834,213424,0.0002,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,23.530921,120,-1,False
linux.txt.hist,30834,213424,0.0001,0.0641,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,23.743206,121,-1,False
linux.txt.hist,30834,213424,0.0002,0.0646,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,23.956213,122,-1,False
linux.txt.hist,30834,213424,0.0001,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,24.172746,123,-1,False
linux.txt.hist,30834,213424,0.0002,0.0645,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,24.39166,124,-1,False
linux.txt.hist,30834,213424,0.0002,0.0638,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,24.605071,125,-1,False
linux.txt.hist,30834,213424,0.0001,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,24.817771,126,-1,False
linux.txt.hist,30834,213424,0.0003,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,25.030423,127,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,25.241655,128,-1,False
linux.txt.hist,30834,213424,0.0001,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,25.455522,129,-1,False
linux.txt.hist,30834,213424,0.0001,0.0643,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,25.670943,130,-1,False
linux.txt.hist,30834,213424,0.0003,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,25.884551,131,-1,False
linux.txt.hist,30834,213424,0.0002,0.0644,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,26.098699,132,-1,False
linux.txt.hist,30834,213424,0.0001,0.0642,6.92170980086917,243,98,LLL,98,6.85,False,False,9223372036854775807,2.4796,26.319705,133,-1,False
